Koch2011,10,7.536363636363636
Koch2011,20,7.5
Koch2011,30,7.263636363636364
Koch2011,40,7.409090909090909
Koch2011,50,7.390909090909091
Koch2011,60,7.2727272727272725
Koch2011,70,7.381818181818182
Koch2011,80,7.218181818181818
Schiermeyer2013,10,8.218181818181819
Schiermeyer2013,20,7.536363636363636
Schiermeyer2013,30,7.5636363636363635
Schiermeyer2013,40,7.3545454545454545
Schiermeyer2013,50,7.1909090909090905
Schiermeyer2013,60,7.254545454545455
Schiermeyer2013,70,7.2
Schiermeyer2013,80,7.090909090909091
Tirodkar2017,10,6.793388429752066
Tirodkar2017,20,6.672727272727273
Tirodkar2017,30,6.336363636363636
Tirodkar2017,40,6.163636363636364
Tirodkar2017,50,5.972727272727273
Tirodkar2017,60,6.081818181818182
Tirodkar2017,70,5.863636363636363
Tirodkar2017,80,5.927272727272728
